sim_id,n_teams,n_meetings_per_team,n_items_per_meeting,alpha,sig_AI_first,sig_Human_first,sig_HumanFirst_Acc,converged
1,6,4,5,0.05,,,,0
2,6,4,5,0.05,,,,0
3,6,4,5,0.05,,,,0
4,6,4,5,0.05,,,,0
5,6,4,5,0.05,,,,0
6,6,4,5,0.05,,,,0
7,6,4,5,0.05,,,,0
8,6,4,5,0.05,,,,0
9,6,4,5,0.05,,,,0
10,6,4,5,0.05,,,,0
11,6,4,5,0.05,,,,0
12,6,4,5,0.05,,,,0
13,6,4,5,0.05,,,,0
14,6,4,5,0.05,,,,0
15,6,4,5,0.05,,,,0
16,6,4,5,0.05,,,,0
17,6,4,5,0.05,,,,0
18,6,4,5,0.05,,,,0
19,6,4,5,0.05,,,,0
20,6,4,5,0.05,,,,0
21,6,4,5,0.05,,,,0
22,6,4,5,0.05,,,,0
23,6,4,5,0.05,,,,0
24,6,4,5,0.05,,,,0
25,6,4,5,0.05,,,,0
26,6,4,5,0.05,,,,0
27,6,4,5,0.05,,,,0
28,6,4,5,0.05,,,,0
29,6,4,5,0.05,,,,0
30,6,4,5,0.05,,,,0
31,6,4,5,0.05,,,,0
32,6,4,5,0.05,,,,0
33,6,4,5,0.05,,,,0
34,6,4,5,0.05,,,,0
35,6,4,5,0.05,,,,0
36,6,4,5,0.05,,,,0
37,6,4,5,0.05,,,,0
38,6,4,5,0.05,,,,0
39,6,4,5,0.05,,,,0
40,6,4,5,0.05,,,,0
41,6,4,5,0.05,,,,0
42,6,4,5,0.05,,,,0
43,6,4,5,0.05,,,,0
44,6,4,5,0.05,,,,0
45,6,4,5,0.05,,,,0
46,6,4,5,0.05,,,,0
47,6,4,5,0.05,,,,0
48,6,4,5,0.05,,,,0
49,6,4,5,0.05,,,,0
50,6,4,5,0.05,,,,0
51,6,4,5,0.05,,,,0
52,6,4,5,0.05,,,,0
53,6,4,5,0.05,,,,0
54,6,4,5,0.05,,,,0
55,6,4,5,0.05,,,,0
56,6,4,5,0.05,,,,0
57,6,4,5,0.05,,,,0
58,6,4,5,0.05,,,,0
59,6,4,5,0.05,,,,0
60,6,4,5,0.05,,,,0
61,6,4,5,0.05,,,,0
62,6,4,5,0.05,,,,0
63,6,4,5,0.05,,,,0
64,6,4,5,0.05,,,,0
65,6,4,5,0.05,,,,0
66,6,4,5,0.05,,,,0
67,6,4,5,0.05,,,,0
68,6,4,5,0.05,,,,0
69,6,4,5,0.05,,,,0
70,6,4,5,0.05,,,,0
71,6,4,5,0.05,,,,0
72,6,4,5,0.05,,,,0
73,6,4,5,0.05,,,,0
74,6,4,5,0.05,,,,0
