team_id,meeting_id,week,agenda_item_id,sequence_condition,accountability,junior_talk_share,junior_critical_turns,override_ai,psych_safety_score
T1,T1_M1,1,T1_M1_A1,STATUS_QUO,0,0.164,0,0,3.37
T1,T1_M1,1,T1_M1_A2,AI_FIRST,0,0.21,1,0,3.17
T1,T1_M1,1,T1_M1_A3,AI_FIRST,0,0.236,2,1,3.7
T1,T1_M1,1,T1_M1_A4,AI_FIRST,1,0.356,3,0,4.19
T1,T1_M1,1,T1_M1_A5,STATUS_QUO,0,0.238,2,1,3.3
T1,T1_M2,2,T1_M2_A1,HUMAN_FIRST,1,0.338,3,1,3.95
T1,T1_M2,2,T1_M2_A2,STATUS_QUO,0,0.173,2,0,3.52
T1,T1_M2,2,T1_M2_A3,AI_FIRST,1,0.231,4,0,3.5
T1,T1_M2,2,T1_M2_A4,STATUS_QUO,1,0.214,3,0,3.64
T1,T1_M2,2,T1_M2_A5,HUMAN_FIRST,0,0.258,3,1,3.55
T1,T1_M3,3,T1_M3_A1,HUMAN_FIRST,1,0.335,2,0,3.97
T1,T1_M3,3,T1_M3_A2,STATUS_QUO,1,0.285,2,1,3.97
T1,T1_M3,3,T1_M3_A3,STATUS_QUO,0,0.221,4,0,3.23
T1,T1_M3,3,T1_M3_A4,AI_FIRST,0,0.227,1,0,3.54
T1,T1_M3,3,T1_M3_A5,AI_FIRST,0,0.141,2,0,3.42
T1,T1_M4,4,T1_M4_A1,STATUS_QUO,1,0.321,4,0,3.47
T1,T1_M4,4,T1_M4_A2,HUMAN_FIRST,0,0.237,3,0,3.16
T1,T1_M4,4,T1_M4_A3,STATUS_QUO,0,0.183,2,0,3.43
T1,T1_M4,4,T1_M4_A4,HUMAN_FIRST,1,0.291,3,0,3.94
T1,T1_M4,4,T1_M4_A5,STATUS_QUO,0,0.249,1,0,3.2
T2,T2_M1,1,T2_M1_A1,AI_FIRST,1,0.141,1,1,3.81
T2,T2_M1,1,T2_M1_A2,HUMAN_FIRST,1,0.308,4,1,3.39
T2,T2_M1,1,T2_M1_A3,HUMAN_FIRST,1,0.165,2,0,3.76
T2,T2_M1,1,T2_M1_A4,AI_FIRST,0,0.225,3,0,3.22
T2,T2_M1,1,T2_M1_A5,STATUS_QUO,0,0.24,1,0,3.33
T2,T2_M2,2,T2_M2_A1,STATUS_QUO,1,0.297,3,0,3.78
T2,T2_M2,2,T2_M2_A2,HUMAN_FIRST,0,0.266,3,1,3.34
T2,T2_M2,2,T2_M2_A3,AI_FIRST,1,0.207,2,0,3.92
T2,T2_M2,2,T2_M2_A4,STATUS_QUO,1,0.294,2,0,3.53
T2,T2_M2,2,T2_M2_A5,HUMAN_FIRST,1,0.304,3,0,3.98
T2,T2_M3,3,T2_M3_A1,AI_FIRST,1,0.248,2,0,3.87
T2,T2_M3,3,T2_M3_A2,AI_FIRST,0,0.181,1,0,3.21
T2,T2_M3,3,T2_M3_A3,AI_FIRST,1,0.281,4,0,3.31
T2,T2_M3,3,T2_M3_A4,HUMAN_FIRST,0,0.3,4,0,3.53
T2,T2_M3,3,T2_M3_A5,AI_FIRST,0,0.198,1,0,3.58
T2,T2_M4,4,T2_M4_A1,AI_FIRST,0,0.254,1,0,3.57
T2,T2_M4,4,T2_M4_A2,AI_FIRST,1,0.252,4,0,3.62
T2,T2_M4,4,T2_M4_A3,AI_FIRST,1,0.242,1,0,3.38
T2,T2_M4,4,T2_M4_A4,HUMAN_FIRST,0,0.274,2,0,3.5
T2,T2_M4,4,T2_M4_A5,HUMAN_FIRST,0,0.265,3,0,3.45
T3,T3_M1,1,T3_M1_A1,AI_FIRST,1,0.211,2,1,3.62
T3,T3_M1,1,T3_M1_A2,AI_FIRST,1,0.239,4,1,3.67
T3,T3_M1,1,T3_M1_A3,STATUS_QUO,1,0.199,3,0,4.36
T3,T3_M1,1,T3_M1_A4,HUMAN_FIRST,1,0.383,4,1,4.1
T3,T3_M1,1,T3_M1_A5,STATUS_QUO,1,0.265,2,0,3.57
T3,T3_M2,2,T3_M2_A1,AI_FIRST,0,0.135,2,0,3.43
T3,T3_M2,2,T3_M2_A2,AI_FIRST,1,0.199,4,0,3.92
T3,T3_M2,2,T3_M2_A3,HUMAN_FIRST,1,0.332,3,0,3.78
T3,T3_M2,2,T3_M2_A4,HUMAN_FIRST,0,0.346,4,0,3.75
T3,T3_M2,2,T3_M2_A5,HUMAN_FIRST,1,0.293,1,0,3.97
T3,T3_M3,3,T3_M3_A1,AI_FIRST,1,0.299,4,0,3.56
T3,T3_M3,3,T3_M3_A2,STATUS_QUO,0,0.227,4,0,3.55
T3,T3_M3,3,T3_M3_A3,AI_FIRST,0,0.151,1,1,3.58
T3,T3_M3,3,T3_M3_A4,AI_FIRST,1,0.315,4,0,3.81
T3,T3_M3,3,T3_M3_A5,HUMAN_FIRST,0,0.328,4,0,3.82
T3,T3_M4,4,T3_M4_A1,STATUS_QUO,1,0.233,3,0,3.91
T3,T3_M4,4,T3_M4_A2,HUMAN_FIRST,0,0.31,4,0,3.48
T3,T3_M4,4,T3_M4_A3,HUMAN_FIRST,1,0.206,3,1,3.85
T3,T3_M4,4,T3_M4_A4,AI_FIRST,1,0.265,3,0,3.79
T3,T3_M4,4,T3_M4_A5,STATUS_QUO,1,0.245,2,0,3.8
T4,T4_M1,1,T4_M1_A1,HUMAN_FIRST,0,0.22,1,0,3.26
T4,T4_M1,1,T4_M1_A2,HUMAN_FIRST,1,0.323,2,1,3.92
T4,T4_M1,1,T4_M1_A3,AI_FIRST,1,0.259,4,0,3.75
T4,T4_M1,1,T4_M1_A4,HUMAN_FIRST,1,0.392,5,1,3.95
T4,T4_M1,1,T4_M1_A5,AI_FIRST,1,0.193,2,0,3.88
T4,T4_M2,2,T4_M2_A1,HUMAN_FIRST,1,0.37,4,0,3.96
T4,T4_M2,2,T4_M2_A2,AI_FIRST,0,0.16,1,0,3.39
T4,T4_M2,2,T4_M2_A3,HUMAN_FIRST,1,0.352,5,0,4.16
T4,T4_M2,2,T4_M2_A4,STATUS_QUO,0,0.358,3,0,3.63
T4,T4_M2,2,T4_M2_A5,AI_FIRST,1,0.294,4,0,3.67
T4,T4_M3,3,T4_M3_A1,HUMAN_FIRST,0,0.328,4,1,3.77
